v_cam;altitude;tma_num;V_S;V_E;V_T;maps;year;location;azimuth;photo_dist;fl_length;month;day
"32";"9000";"128";"79";"127";"48";;"1947";wilkes_land;307;0.754;36.192;"2";"2"
"32";"9000";"127";"1";"78";"77";;"1947";wilkes_land;354;1.231;94.81;"2";"2"
"32";;"278";"72";"198";"126";;"1947";dry_valleys;231;0.488;61.521;"2";"21"
"32";;"278";"72";"198";"126";;"1947";transantarctic_mountains;231;0.488;61.521;"2";"21"
"32";;"279";"2";"83";"81";;"1947";dry_valleys;126;1.505;121.9;"2";"21"
"32";;"279";"2";"83";"81";;"1947";wilkes_land;126;1.505;121.9;"2";"21"
"32";;"280";"143";"188";"45";;"1947";north_victoria_land;253;1.221;56.147;"2";"21"
"32";;"280";"143";"188";"45";;"1947";wilkes_land;253;1.221;56.147;"2";"21"
"32";;"281";"189";"306";"117";;"1947";ross_island;278;1.285;151.59;"2";"21"
"32";;"281";"189";"306";"117";;"1947";dry_valleys;278;1.285;151.59;"2";"21"
"32";;"283";"3";"78";"75";;"1947";ross_island;266;0.379;29.215;"2";"21"
"32";;"283";"3";"78";"75";;"1947";dry_valleys;266;0.379;29.215;"2";"21"
"32";;"262";"1";"10";"9";;"1947";ross_shelf;290;1.43;12.867;"2";"21"
"32";;"263";"11";"57";"46";;"1947";ross_shelf;258;0.347;15.953;"2";"21"
"32";;"264";"58";"97";"39";;"1947";marie_byrd_land;283;0.326;12.724;"2";"21"
"32";;"265";"98";"103";"5";;"1947";marie_byrd_land;288;2.796;13.98;"2";"21"
"32";;"266";"104";"121";"17";;"1947";marie_byrd_land;290;0.85;14.453;"2";"21"
"32";;"267";"122";"126";"4";;"1947";marie_byrd_land;75.9;3.645;18.227;"2";"21"
"32";;"268";"127";"209";"82";;"1947";marie_byrd_land;195;0.235;19.231;"2";"21"
"32";;"272";"11";"37";"26";;"1947";ross_shelf;37.2;1.31;34.07;"2";"21"
"32";;"526";"20";"195";"175";;"1947";marie_byrd_land;287;0.883;154.6;"2";"15"
"32";;"527";"1";"263";"262";;"1947";marie_byrd_land;282;0.789;206.8;"2";"15"
"32";;"530";"1";"243";"242";;"1947";marie_byrd_land;301;0.381;92.196;"2";"15"
"32";;"534";"73";"117";"44";;"1947";marie_byrd_land;350;0.634;27.908;"2";"15"
"32";;"535";"118";"187";"69";;"1947";marie_byrd_land;56.1;0.443;34.549;"2";"15"
"32";;"531";"13";"239";"226";;"1947";marie_byrd_land;42.6;0.563;134.02;"2";"15"
