# CoordinateSystem: PROJCS["WGS 84 / Antarctic Polar Stereographic",GEOGCS["WGS 84",DATUM["World Geodetic System 1984 ensemble",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]],PROJECTION["PolarStereographicB",AUTHORITY["EPSG","9829"]],PARAMETER["latitude_of_origin",-71],PARAMETER["central_meridian",0],PARAMETER["false_easting",0],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","3031"]]
#Label;Enable;X/Easting;Y/Northing;Z/Altitude;Yaw;Pitch;Roll;Accuracy_X/Y_(m);Accuracy_Z_(m);Accuracy_Yaw_(deg);Accuracy_Pitch/Roll_(deg);Error_(m);X_error;Y_error;Z_error;Error_(deg);Yaw_error;Pitch_error;Roll_error;X_est;Y_est;Z_est;Yaw_est;Pitch_est;Roll_est;X_var;Y_var;Z_var;Yaw_var;Pitch_var;Roll_var
CA213731L0067.tif;1;-2412737.351740;1235576.288519;4572.000000;87.932760;60.000000;30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213731L0068.tif;1;-2410596.979524;1234575.875794;4572.000000;87.930959;60.000000;30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213731L0069.tif;1;-2408456.607308;1233575.463068;4572.000000;87.929154;60.000000;30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213731L0070.tif;1;-2406316.235092;1232575.050343;4572.000000;87.927346;60.000000;30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213731L0071.tif;1;-2404175.862876;1231574.637617;4572.000000;87.925535;60.000000;30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0055.tif;1;-2438421.818333;1247581.241225;4572.000000;87.954139;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0056.tif;1;-2436281.446117;1246580.828499;4572.000000;87.952374;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0057.tif;1;-2434141.073901;1245580.415774;4572.000000;87.950606;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0058.tif;1;-2432000.701685;1244580.003048;4572.000000;87.948836;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0059.tif;1;-2429860.329469;1243579.590323;4572.000000;87.947062;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
